REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
01 - Ilocos Region,The Adelphi College,Private,Pangasinan,Lingayen,,(075) 632-3661,
01 - Ilocos Region,Malasiqui Agno Valley College,Private,Pangasinan,Malasiqui,,(075) 6334827,
01 - Ilocos Region,Asbury College,Private,Pangasinan,Anda,http://www.asburycollege-anda.org,,
01 - Ilocos Region,Asiacareer College Foundation,Private,Pangasinan,Dagupan City,,(075) 515-7685,
01 - Ilocos Region,CICOSAT Colleges,Private,La Union,San Fernando City,http://www.cicosatcolleges.com (under construction),(072) 242-2698; (072) 607-1118; (072) 607-6221,
01 - Ilocos Region,Universidad de Dagupan,Private,Pangasinan,Dagupan City,http://www.cdd.edu.ph,(075) 522- 3629; (075) 522-2405,
01 - Ilocos Region,Dagupan Colleges Foundation,Private,Pangasinan,Dagupan City,,(075) 516-2554,
01 - Ilocos Region,Data Center College of the Philippines of Laoag City,Private,Ilocos Norte,Laoag City,dccpi.net,(077) 770-3975; (077) 770-3652,
01 - Ilocos Region,Divine Word College of Laoag,Private,Ilocos Norte,Laoag City,http://www.dwcl.edu.ph,(077) 772-0736; (077) 772-1625,
01 - Ilocos Region,Divine Word College of Vigan,Private,Ilocos Sur,Vigan City,dwcv.com.ph,(077) 722-2033; (077) 722-2034; (077) 722-1821,
01 - Ilocos Region,Don Mariano Marcos Memorial State University-South La Union,SUC Satellite,La Union,Agoo,http://www.dmmmsu-sluc.com,(072) 522-1062,
01 - Ilocos Region,Don Mariano Marcos Memorial State University-Mid La Union,SUC Satellite,La Union,San Fernando City,http://www.dmmmsu-mluc.edu.ph,(072) 700-5453,
01 - Ilocos Region,Don Mariano Marcos Memorial State University-Open University,SUC Satellite,La Union,San Fernando City,http://www.dmmmsu-ous.org,(072) 242-3608;0928-384-4754,
01 - Ilocos Region,Don Mariano Marcos Memorial State University-North La Union-Main Campus,SUC Main,La Union,Bacnotan,dmmmsu-nluc.org,(072) 242-5641; (072) 888-5354,
01 - Ilocos Region,The Great Plebeian College,Private,Pangasinan,Alaminos City,,(075) 654-0194; (075) 551-3726; (075) 654-0194,
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Sta. Maria,SUC Satellite,Ilocos Sur,Sta. Maria,http://www.ispsc.edu.ph,(077) 732-5512,
01 - Ilocos Region,Ilocos Sur Community College,LUC,Ilocos Sur,Bantay,,(077) 604-0118,
01 - Ilocos Region,Lorma Colleges,Private,La Union,San Fernando City,http://www.lorma.edu,(072) 888-4341; (072) 700-2500; (072) 888-4341; (072) 700-2500; (072) 242-3628,
01 - Ilocos Region,Luna Colleges,Private,Pangasinan,Tayug,,(075) 572-3176; (075) 572-2915,
01 - Ilocos Region,University of Luzon,Private,Pangasinan,Dagupan City,http://www.ul.edu.ph,(075) 515-5767; (075) 515-8177,
01 - Ilocos Region,Lyceum Northern Luzon,Private,Pangasinan,Urdaneta City,,(075) 568-7963; (075) 568-7966,
